Energy_240120_070	Is (A)_1_240120_070	Im (A)_1_240120_070	Is/Im (#)_1_240120_070	Keithley Source (A)_2_240120_070
-8.149766E+2	-6.636127E-10	4.280669E-11	-1.550255E+1	2.931688E-11
-8.149000E+2	-6.655432E-10	4.277701E-11	-1.555843E+1	2.965387E-11
-8.148001E+2	-6.638717E-10	4.284963E-11	-1.549306E+1	2.984778E-11
-8.147000E+2	-6.671148E-10	4.289900E-11	-1.555082E+1	2.993091E-11
-8.146000E+2	-6.649802E-10	4.295347E-11	-1.548141E+1	2.993561E-11
-8.145000E+2	-6.678033E-10	4.299493E-11	-1.553214E+1	2.994850E-11
-8.144000E+2	-6.655569E-10	4.303055E-11	-1.546708E+1	3.006999E-11
-8.143000E+2	-6.681373E-10	4.307602E-11	-1.551066E+1	3.046672E-11
-8.141999E+2	-6.673830E-10	4.311939E-11	-1.547756E+1	2.976757E-11
-8.141000E+2	-6.691229E-10	4.310768E-11	-1.552213E+1	2.992472E-11
-8.139999E+2	-6.670085E-10	4.320824E-11	-1.543707E+1	3.015670E-11
-8.139000E+2	-6.700471E-10	4.323506E-11	-1.549777E+1	3.035822E-11
-8.138000E+2	-6.687906E-10	4.328087E-11	-1.545234E+1	3.044014E-11
-8.137000E+2	-6.714001E-10	4.333401E-11	-1.549361E+1	3.060000E-11
-8.136000E+2	-6.689397E-10	4.335773E-11	-1.542838E+1	3.057792E-11
-8.135001E+2	-6.718781E-10	4.339596E-11	-1.548250E+1	3.076215E-11
-8.133999E+2	-6.699603E-10	4.345291E-11	-1.541808E+1	3.081390E-11
-8.133000E+2	-6.725802E-10	4.348960E-11	-1.546531E+1	3.091991E-11
-8.131999E+2	-6.705745E-10	4.350994E-11	-1.541198E+1	3.096016E-11
-8.131001E+2	-6.729741E-10	4.354267E-11	-1.545551E+1	3.098465E-11
-8.130000E+2	-6.714586E-10	4.358947E-11	-1.540415E+1	3.108215E-11
-8.129000E+2	-6.734089E-10	4.363131E-11	-1.543407E+1	3.126129E-11
-8.128000E+2	-6.730045E-10	4.365613E-11	-1.541604E+1	3.120644E-11
-8.127001E+2	-6.742633E-10	4.368943E-11	-1.543310E+1	3.140355E-11
-8.125999E+2	-6.754046E-10	4.372153E-11	-1.544787E+1	3.139126E-11
-8.125000E+2	-6.761397E-10	4.375915E-11	-1.545139E+1	3.151455E-11
-8.123999E+2	-6.758109E-10	4.378677E-11	-1.543413E+1	3.157360E-11
-8.123001E+2	-6.782520E-10	4.381370E-11	-1.548036E+1	3.171028E-11
-8.122000E+2	-6.785084E-10	4.388130E-11	-1.546236E+1	3.167231E-11
-8.121000E+2	-6.808943E-10	4.388877E-11	-1.551409E+1	3.183736E-11
-8.120000E+2	-6.801267E-10	4.392752E-11	-1.548293E+1	3.187802E-11
-8.119001E+2	-6.821940E-10	4.397195E-11	-1.551430E+1	3.189360E-11
-8.117999E+2	-6.816803E-10	4.398222E-11	-1.549900E+1	3.192517E-11
-8.117000E+2	-6.834488E-10	4.402902E-11	-1.552269E+1	3.194115E-11
-8.115999E+2	-6.840153E-10	4.405660E-11	-1.552583E+1	3.235687E-11
-8.115001E+2	-6.848647E-10	4.408282E-11	-1.553586E+1	3.119895E-11
-8.114000E+2	-6.854242E-10	4.409329E-11	-1.554486E+1	2.535965E-11
-8.113000E+2	-6.866003E-10	4.414897E-11	-1.555190E+1	3.144962E-11
-8.112000E+2	-6.879370E-10	4.417700E-11	-1.557229E+1	2.505434E-11
-8.111001E+2	-6.884850E-10	4.420715E-11	-1.557406E+1	3.415581E-11
-8.109999E+2	-6.882848E-10	4.422138E-11	-1.556453E+1	3.215975E-11
-8.109000E+2	-6.894937E-10	4.425525E-11	-1.557993E+1	3.218534E-11
-8.107999E+2	-6.891961E-10	4.430018E-11	-1.555741E+1	3.210192E-11
-8.107001E+2	-6.904736E-10	4.431865E-11	-1.557975E+1	3.244219E-11
-8.106000E+2	-6.891863E-10	4.434948E-11	-1.553990E+1	3.276479E-11
-8.105000E+2	-6.910216E-10	4.437202E-11	-1.557336E+1	3.284143E-11
-8.104000E+2	-6.903184E-10	4.442759E-11	-1.553806E+1	3.272004E-11
-8.103001E+2	-6.913695E-10	4.445082E-11	-1.555358E+1	3.271814E-11
-8.101999E+2	-6.905652E-10	4.447261E-11	-1.552788E+1	3.286220E-11
-8.101000E+2	-6.912445E-10	4.450284E-11	-1.553259E+1	3.312127E-11
-8.099999E+2	-6.913137E-10	4.452710E-11	-1.552568E+1	3.305014E-11
-8.099001E+2	-6.915912E-10	4.457290E-11	-1.551596E+1	3.303155E-11
-8.098000E+2	-6.917952E-10	4.459730E-11	-1.551204E+1	3.303584E-11
-8.097000E+2	-6.913736E-10	4.462663E-11	-1.549240E+1	3.309429E-11
-8.096000E+2	-6.918089E-10	4.464014E-11	-1.549746E+1	3.319809E-11
-8.095001E+2	-6.916074E-10	4.467977E-11	-1.547921E+1	3.317762E-11
-8.093999E+2	-6.915115E-10	4.469767E-11	-1.547086E+1	3.331379E-11
-8.093000E+2	-6.914256E-10	4.472823E-11	-1.545837E+1	3.328011E-11
-8.091999E+2	-6.920718E-10	4.476424E-11	-1.546037E+1	3.337363E-11
-8.091001E+2	-6.909615E-10	4.479719E-11	-1.542422E+1	3.335864E-11
-8.090000E+2	-6.923600E-10	4.480305E-11	-1.545341E+1	3.336333E-11
-8.089000E+2	-6.909053E-10	4.485778E-11	-1.540213E+1	3.346994E-11
-8.088000E+2	-6.922029E-10	4.486504E-11	-1.542856E+1	3.356815E-11
-8.087001E+2	-6.903050E-10	4.490501E-11	-1.537256E+1	3.369923E-11
-8.086000E+2	-6.922437E-10	4.491765E-11	-1.541140E+1	3.382582E-11
-8.085000E+2	-6.919045E-10	4.494211E-11	-1.539546E+1	3.424313E-11
-8.084000E+2	-6.925029E-10	4.499548E-11	-1.539050E+1	3.598312E-11
-8.082999E+2	-6.918973E-10	4.498402E-11	-1.538096E+1	3.467542E-11
-8.082001E+2	-6.940463E-10	4.502033E-11	-1.541629E+1	3.371202E-11
-8.081001E+2	-7.021824E-10	4.503608E-11	-1.559155E+1	3.360742E-11
-8.080001E+2	-7.029271E-10	4.505264E-11	-1.560235E+1	3.514849E-11
