Energy_240120_006	Is (A)_1_240120_006	Im (A)_1_240120_006	Is/Im (#)_1_240120_006	Keithley Source (A)_2_240120_006
-8.151912E+2	-3.070896E-10	5.109234E-11	-6.010482E+0	3.689051E-11
-8.149000E+2	-3.047425E-10	5.109014E-11	-5.964801E+0	3.707024E-11
-8.148001E+2	-3.031168E-10	5.118571E-11	-5.921903E+0	3.705015E-11
-8.147000E+2	-3.016007E-10	5.122212E-11	-5.888095E+0	3.708303E-11
-8.146000E+2	-3.004803E-10	5.125867E-11	-5.862039E+0	3.711599E-11
-8.145000E+2	-2.993364E-10	5.129056E-11	-5.836091E+0	3.721900E-11
-8.144000E+2	-2.985952E-10	5.132421E-11	-5.817824E+0	3.722310E-11
-8.143000E+2	-2.976535E-10	5.135204E-11	-5.796333E+0	3.721092E-11
-8.141999E+2	-2.969254E-10	5.139306E-11	-5.777539E+0	3.730412E-11
-8.141000E+2	-2.964480E-10	5.142141E-11	-5.765069E+0	3.740993E-11
-8.139999E+2	-2.956750E-10	5.133702E-11	-5.759489E+0	3.732061E-11
-8.139000E+2	-2.949666E-10	5.152812E-11	-5.724381E+0	3.761044E-11
-8.138000E+2	-2.945184E-10	5.150965E-11	-5.717733E+0	3.752221E-11
-8.137000E+2	-2.939654E-10	5.155868E-11	-5.701570E+0	3.783033E-11
-8.136000E+2	-2.932228E-10	5.156489E-11	-5.686482E+0	3.785170E-11
-8.135001E+2	-2.927585E-10	5.161028E-11	-5.672484E+0	3.761812E-11
-8.133999E+2	-2.922695E-10	5.164790E-11	-5.658884E+0	3.797879E-11
-8.133000E+2	-2.916755E-10	5.165258E-11	-5.646872E+0	3.823875E-11
-8.131999E+2	-2.911031E-10	5.169668E-11	-5.630982E+0	3.835743E-11
-8.131001E+2	-2.907675E-10	5.172640E-11	-5.621259E+0	3.821997E-11
-8.130000E+2	-2.902141E-10	5.180589E-11	-5.601952E+0	3.835395E-11
-8.129000E+2	-2.898659E-10	5.178212E-11	-5.597799E+0	3.838861E-11
-8.128000E+2	-2.895571E-10	5.181443E-11	-5.588349E+0	3.834984E-11
-8.127001E+2	-2.889128E-10	5.185155E-11	-5.571922E+0	3.829790E-11
-8.125999E+2	-2.886081E-10	5.187273E-11	-5.563773E+0	3.854466E-11
-8.125000E+2	-2.883963E-10	5.189890E-11	-5.556887E+0	3.850291E-11
-8.123999E+2	-2.880245E-10	5.193459E-11	-5.545909E+0	3.894380E-11
-8.123001E+2	-2.876423E-10	5.196965E-11	-5.534813E+0	3.858883E-11
-8.122000E+2	-2.875680E-10	5.199274E-11	-5.530926E+0	3.885128E-11
-8.121000E+2	-2.874420E-10	5.201574E-11	-5.526058E+0	3.890854E-11
-8.120000E+2	-2.872981E-10	5.204620E-11	-5.520059E+0	3.894960E-11
-8.119001E+2	-2.870006E-10	5.207959E-11	-5.510808E+0	3.896428E-11
-8.117999E+2	-2.871051E-10	5.209335E-11	-5.511358E+0	3.898296E-11
-8.117000E+2	-2.868712E-10	5.212918E-11	-5.503083E+0	3.915271E-11
-8.115999E+2	-2.868655E-10	5.217433E-11	-5.498211E+0	3.924732E-11
-8.115001E+2	-2.870300E-10	5.217850E-11	-5.500925E+0	3.933194E-11
-8.114000E+2	-2.867408E-10	5.220513E-11	-5.492579E+0	3.941406E-11
-8.113000E+2	-2.869020E-10	5.222218E-11	-5.493873E+0	3.954434E-11
-8.112000E+2	-2.869487E-10	5.226314E-11	-5.490460E+0	3.947871E-11
-8.111001E+2	-2.870491E-10	5.228547E-11	-5.490036E+0	3.976143E-11
-8.109999E+2	-2.870646E-10	5.232111E-11	-5.486592E+0	3.966074E-11
-8.109000E+2	-2.871949E-10	5.234290E-11	-5.486798E+0	3.970840E-11
-8.107999E+2	-2.873830E-10	5.236443E-11	-5.488134E+0	3.962927E-11
-8.107001E+2	-2.873831E-10	5.237744E-11	-5.486773E+0	3.970221E-11
-8.106000E+2	-2.876149E-10	5.243882E-11	-5.484771E+0	3.985616E-11
-8.105000E+2	-2.876855E-10	5.247011E-11	-5.482845E+0	4.009793E-11
-8.104000E+2	-2.877350E-10	5.248454E-11	-5.482281E+0	4.003109E-11
-8.103001E+2	-2.880835E-10	5.250675E-11	-5.486599E+0	4.026109E-11
-8.101999E+2	-2.882117E-10	5.255409E-11	-5.484096E+0	4.028386E-11
-8.101000E+2	-2.883704E-10	5.256837E-11	-5.485626E+0	4.020543E-11
-8.099999E+2	-2.884750E-10	5.267572E-11	-5.476432E+0	4.042473E-11
-8.099001E+2	-2.887591E-10	5.260472E-11	-5.489224E+0	4.048418E-11
-8.098000E+2	-2.887743E-10	5.264572E-11	-5.485238E+0	4.053363E-11
-8.097000E+2	-2.887949E-10	5.267526E-11	-5.482553E+0	4.060197E-11
-8.096000E+2	-2.888705E-10	5.269384E-11	-5.482054E+0	4.076910E-11
-8.095001E+2	-2.890343E-10	5.271024E-11	-5.483456E+0	4.073623E-11
-8.093999E+2	-2.888014E-10	5.272568E-11	-5.477433E+0	4.077590E-11
-8.093000E+2	-2.888852E-10	5.275645E-11	-5.475827E+0	4.082715E-11
-8.091999E+2	-2.885894E-10	5.278598E-11	-5.467160E+0	4.115135E-11
-8.091001E+2	-2.884774E-10	5.277150E-11	-5.466538E+0	4.094745E-11
-8.090000E+2	-2.884667E-10	5.283108E-11	-5.460170E+0	4.121260E-11
-8.089000E+2	-2.880914E-10	5.285064E-11	-5.451048E+0	4.110380E-11
-8.088000E+2	-2.878298E-10	5.286898E-11	-5.444209E+0	4.118782E-11
-8.087001E+2	-2.873261E-10	5.290950E-11	-5.430520E+0	4.144958E-11
-8.086000E+2	-2.870423E-10	5.290229E-11	-5.425896E+0	4.128623E-11
-8.085000E+2	-2.867106E-10	5.294321E-11	-5.415437E+0	4.133808E-11
-8.084000E+2	-2.863950E-10	5.295938E-11	-5.407824E+0	4.138864E-11
-8.082999E+2	-2.859944E-10	5.298839E-11	-5.397303E+0	4.147736E-11
-8.082001E+2	-2.855067E-10	5.299574E-11	-5.387352E+0	4.151312E-11
-8.081001E+2	-2.850988E-10	5.302556E-11	-5.376630E+0	4.158155E-11
