Energy_240120_077	Is (A)_1_240120_077	Im (A)_1_240120_077	Is/Im (#)_1_240120_077	Keithley Source (A)_2_240120_077
-8.150362E+2	-1.570685E-10	4.116384E-11	-3.815691E+0	2.280335E-11
-8.149000E+2	-1.567164E-10	4.104139E-11	-3.818496E+0	2.287488E-11
-8.148001E+2	-1.561081E-10	4.113735E-11	-3.794802E+0	2.295241E-11
-8.147000E+2	-1.558190E-10	4.120463E-11	-3.781590E+0	2.298917E-11
-8.146000E+2	-1.556334E-10	4.124223E-11	-3.773642E+0	2.305112E-11
-8.145000E+2	-1.555884E-10	4.129458E-11	-3.767768E+0	2.304922E-11
-8.144000E+2	-1.552631E-10	4.133527E-11	-3.756189E+0	2.296340E-11
-8.143000E+2	-1.552184E-10	4.138988E-11	-3.750153E+0	2.290945E-11
-8.141999E+2	-1.549372E-10	4.145258E-11	-3.737697E+0	2.307490E-11
-8.141000E+2	-1.549506E-10	4.149801E-11	-3.733928E+0	2.319168E-11
-8.139999E+2	-1.548843E-10	4.153049E-11	-3.729412E+0	2.327451E-11
-8.139000E+2	-1.548993E-10	4.157637E-11	-3.725657E+0	2.349080E-11
-8.138000E+2	-1.549296E-10	4.163592E-11	-3.721056E+0	2.349930E-11
-8.137000E+2	-1.550441E-10	4.167159E-11	-3.720619E+0	2.341658E-11
-8.136000E+2	-1.549973E-10	4.172541E-11	-3.714698E+0	2.343186E-11
-8.135001E+2	-1.550973E-10	4.177379E-11	-3.712790E+0	2.347762E-11
-8.133999E+2	-1.553008E-10	4.180796E-11	-3.714623E+0	2.357083E-11
-8.133000E+2	-1.554324E-10	4.185795E-11	-3.713330E+0	2.356793E-11
-8.131999E+2	-1.556336E-10	4.189327E-11	-3.715002E+0	2.371360E-11
-8.131001E+2	-1.557827E-10	4.194097E-11	-3.714332E+0	2.374866E-11
-8.130000E+2	-1.555789E-10	4.195376E-11	-3.708342E+0	2.371610E-11
-8.129000E+2	-1.557674E-10	4.197410E-11	-3.711036E+0	2.380132E-11
-8.128000E+2	-1.560253E-10	4.203783E-11	-3.711545E+0	2.387495E-11
-8.127001E+2	-1.563991E-10	4.210310E-11	-3.714669E+0	2.395717E-11
-8.125999E+2	-1.569817E-10	4.218543E-11	-3.721230E+0	2.395467E-11
-8.125000E+2	-1.572792E-10	4.224406E-11	-3.723108E+0	2.396727E-11
-8.123999E+2	-1.576500E-10	4.227919E-11	-3.728785E+0	2.408695E-11
-8.123001E+2	-1.580860E-10	4.237489E-11	-3.730653E+0	2.406487E-11
-8.122000E+2	-1.582360E-10	4.247176E-11	-3.725676E+0	2.421873E-11
-8.121000E+2	-1.585520E-10	4.250850E-11	-3.729889E+0	2.376695E-11
-8.120000E+2	-1.587643E-10	4.252992E-11	-3.733003E+0	2.424061E-11
-8.119001E+2	-1.589261E-10	4.257538E-11	-3.732817E+0	2.424400E-11
-8.117999E+2	-1.591367E-10	4.263117E-11	-3.732872E+0	2.428058E-11
-8.117000E+2	-1.594817E-10	4.265642E-11	-3.738750E+0	2.436000E-11
-8.115999E+2	-1.596476E-10	4.269524E-11	-3.739237E+0	2.447519E-11
-8.115001E+2	-1.598281E-10	4.272843E-11	-3.740556E+0	2.453474E-11
-8.114000E+2	-1.600193E-10	4.277419E-11	-3.741025E+0	2.452795E-11
