Energy_240120_058	Is (A)_1_240120_058	Im (A)_1_240120_058	Is/Im (#)_1_240120_058	Keithley Source (A)_2_240120_058
-8.150084E+2	-7.285185E-10	3.261293E-11	-2.233833E+1	2.462363E-12
-8.149000E+2	-7.304032E-10	3.256567E-11	-2.242862E+1	3.227257E-12
-8.148001E+2	-7.295473E-10	3.251749E-11	-2.243554E+1	3.329861E-12
-8.147000E+2	-7.316712E-10	3.259811E-11	-2.244520E+1	3.359434E-12
-8.146000E+2	-7.313390E-10	3.265068E-11	-2.239889E+1	3.386708E-12
-8.145000E+2	-7.341536E-10	3.271239E-11	-2.244268E+1	3.409188E-12
-8.144000E+2	-7.337908E-10	3.283494E-11	-2.234786E+1	3.461040E-12
-8.143000E+2	-7.365166E-10	3.287303E-11	-2.240489E+1	3.479122E-12
-8.141999E+2	-7.359109E-10	3.292128E-11	-2.235365E+1	3.469532E-12
-8.141000E+2	-7.383117E-10	3.297988E-11	-2.238673E+1	3.480922E-12
-8.139999E+2	-7.371238E-10	3.303122E-11	-2.231597E+1	3.637676E-12
-8.139000E+2	-7.407359E-10	3.308843E-11	-2.238655E+1	3.580729E-12
-8.138000E+2	-7.404182E-10	3.316093E-11	-2.232803E+1	3.625588E-12
-8.137000E+2	-7.428539E-10	3.321469E-11	-2.236522E+1	3.702616E-12
-8.136000E+2	-7.419705E-10	3.326587E-11	-2.230426E+1	3.562746E-12
-8.135001E+2	-7.442096E-10	3.332689E-11	-2.233060E+1	3.648067E-12
-8.133999E+2	-7.436528E-10	3.339410E-11	-2.226899E+1	3.749074E-12
-8.133000E+2	-7.456855E-10	3.344480E-11	-2.229601E+1	3.787439E-12
-8.131999E+2	-7.449945E-10	3.349426E-11	-2.224245E+1	3.769555E-12
-8.131001E+2	-7.475540E-10	3.355799E-11	-2.227648E+1	3.794532E-12
-8.130000E+2	-7.469140E-10	3.362046E-11	-2.221606E+1	3.723199E-12
-8.129000E+2	-7.496204E-10	3.367658E-11	-2.225940E+1	3.763361E-12
-8.128000E+2	-7.496213E-10	3.372925E-11	-2.222467E+1	3.829200E-12
-8.127001E+2	-7.513717E-10	3.378129E-11	-2.224224E+1	3.883250E-12
-8.125999E+2	-7.516407E-10	3.384017E-11	-2.221149E+1	3.927109E-12
-8.125000E+2	-7.539241E-10	3.388775E-11	-2.224769E+1	4.111939E-12
-8.123999E+2	-7.541971E-10	3.395585E-11	-2.221111E+1	4.060387E-12
-8.123001E+2	-7.561751E-10	3.401554E-11	-2.223028E+1	3.919316E-12
-8.122000E+2	-7.567496E-10	3.406826E-11	-2.221275E+1	4.122729E-12
-8.121000E+2	-7.578702E-10	3.412045E-11	-2.221161E+1	4.148004E-12
-8.120000E+2	-7.580595E-10	3.416738E-11	-2.218664E+1	4.072375E-12
-8.119001E+2	-7.592068E-10	3.421585E-11	-2.218875E+1	4.078170E-12
-8.117999E+2	-7.591521E-10	3.426289E-11	-2.215669E+1	4.143310E-12
-8.117000E+2	-7.611896E-10	3.432465E-11	-2.217618E+1	4.250011E-12
-8.115999E+2	-7.606401E-10	3.438773E-11	-2.211952E+1	4.353216E-12
-8.115001E+2	-7.638493E-10	3.442609E-11	-2.218809E+1	4.275488E-12
-8.114000E+2	-7.628218E-10	3.447775E-11	-2.212505E+1	4.257703E-12
-8.113000E+2	-7.647222E-10	3.452749E-11	-2.214821E+1	4.304761E-12
-8.112000E+2	-7.654681E-10	3.458686E-11	-2.213176E+1	4.135017E-12
-8.111001E+2	-7.675737E-10	3.462803E-11	-2.216625E+1	4.130721E-12
-8.109999E+2	-7.662939E-10	3.467274E-11	-2.210076E+1	4.031313E-12
-8.109000E+2	-7.688145E-10	3.473246E-11	-2.213533E+1	4.222036E-12
-8.107999E+2	-7.694647E-10	3.477940E-11	-2.212415E+1	4.138814E-12
-8.107001E+2	-7.710315E-10	3.485098E-11	-2.212367E+1	4.173282E-12
-8.106000E+2	-7.702491E-10	3.489177E-11	-2.207538E+1	4.107742E-12
-8.105000E+2	-7.730203E-10	3.494621E-11	-2.212029E+1	4.183273E-12
-8.104000E+2	-7.728256E-10	3.499733E-11	-2.208242E+1	4.257505E-12
-8.103001E+2	-7.759478E-10	3.500353E-11	-2.216770E+1	4.426248E-12
-8.101999E+2	-7.750583E-10	3.510957E-11	-2.207541E+1	4.403970E-12
-8.101000E+2	-7.772223E-10	3.515206E-11	-2.211029E+1	4.467809E-12
-8.099999E+2	-7.764575E-10	3.519796E-11	-2.205973E+1	4.364306E-12
-8.099001E+2	-7.799211E-10	3.524573E-11	-2.212810E+1	4.369702E-12
-8.098000E+2	-7.787901E-10	3.528929E-11	-2.206874E+1	4.466612E-12
-8.097000E+2	-7.814876E-10	3.534331E-11	-2.211133E+1	4.609179E-12
-8.096000E+2	-7.809609E-10	3.540125E-11	-2.206026E+1	4.591396E-12
-8.095001E+2	-7.831590E-10	3.542924E-11	-2.210488E+1	4.578608E-12
-8.093999E+2	-7.819898E-10	3.548487E-11	-2.203727E+1	4.492387E-12
-8.093000E+2	-7.841529E-10	3.553137E-11	-2.206931E+1	4.570714E-12
-8.091999E+2	-7.845555E-10	3.557590E-11	-2.205300E+1	4.733565E-12
-8.091001E+2	-7.876010E-10	3.563544E-11	-2.210162E+1	4.689305E-12
-8.090000E+2	-7.867133E-10	3.566800E-11	-2.205656E+1	4.521759E-12
-8.089000E+2	-7.889674E-10	3.570836E-11	-2.209475E+1	4.649044E-12
