Energy_240120_049	Is (A)_1_240120_049	Im (A)_1_240120_049	Is/Im (#)_1_240120_049	Keithley Source (A)_2_240120_049
-8.149965E+2	-2.054065E-9	4.815782E-11	-4.265278E+1	1.615482E-11
-8.149000E+2	-2.056020E-9	4.823113E-11	-4.262848E+1	1.573481E-11
-8.148001E+2	-2.056307E-9	4.825307E-11	-4.261505E+1	1.600456E-11
-8.147000E+2	-2.057317E-9	4.827276E-11	-4.261859E+1	1.593683E-11
-8.146000E+2	-2.060417E-9	4.832581E-11	-4.263595E+1	1.595051E-11
-8.145000E+2	-2.061657E-9	4.836142E-11	-4.263020E+1	1.604422E-11
-8.144000E+2	-2.064053E-9	4.840571E-11	-4.264069E+1	1.590435E-11
-8.143000E+2	-2.064199E-9	4.841329E-11	-4.263703E+1	1.599327E-11
-8.141999E+2	-2.065702E-9	4.846597E-11	-4.262170E+1	1.614243E-11
-8.141000E+2	-2.067261E-9	4.848200E-11	-4.263976E+1	1.611826E-11
-8.139999E+2	-2.069322E-9	4.852910E-11	-4.264085E+1	1.608868E-11
-8.139000E+2	-2.068959E-9	4.855601E-11	-4.260974E+1	1.621537E-11
-8.138000E+2	-2.071256E-9	4.859263E-11	-4.262490E+1	1.621057E-11
-8.137000E+2	-2.072562E-9	4.861992E-11	-4.262784E+1	1.624464E-11
-8.136000E+2	-2.073747E-9	4.865806E-11	-4.261878E+1	1.629480E-11
-8.135001E+2	-2.076789E-9	4.868976E-11	-4.265351E+1	1.613674E-11
-8.133999E+2	-2.078072E-9	4.870461E-11	-4.266684E+1	1.619119E-11
-8.133000E+2	-2.078937E-9	4.874750E-11	-4.264705E+1	1.618329E-11
-8.131999E+2	-2.079791E-9	4.877029E-11	-4.264463E+1	1.637003E-11
-8.131001E+2	-2.082165E-9	4.881022E-11	-4.265838E+1	1.640089E-11
-8.130000E+2	-2.083973E-9	4.885595E-11	-4.265546E+1	1.640039E-11
-8.129000E+2	-2.083544E-9	4.887689E-11	-4.262841E+1	1.629269E-11
-8.128000E+2	-2.087115E-9	4.891132E-11	-4.267141E+1	1.626472E-11
-8.127001E+2	-2.087156E-9	4.893155E-11	-4.265461E+1	1.628580E-11
-8.125999E+2	-2.090542E-9	4.900086E-11	-4.266337E+1	1.637222E-11
-8.125000E+2	-2.091563E-9	4.903050E-11	-4.265841E+1	1.636982E-11
-8.123999E+2	-2.093446E-9	4.906870E-11	-4.266357E+1	1.533308E-11
-8.123001E+2	-2.096102E-9	4.909625E-11	-4.269373E+1	1.578726E-11
-8.122000E+2	-2.097659E-9	4.913410E-11	-4.269253E+1	1.618969E-11
-8.121000E+2	-2.098157E-9	4.916337E-11	-4.267724E+1	1.623994E-11
-8.120000E+2	-2.099137E-9	4.919105E-11	-4.267315E+1	1.627861E-11
-8.119001E+2	-2.100794E-9	4.923359E-11	-4.266993E+1	1.631847E-11
-8.117999E+2	-2.101736E-9	4.925338E-11	-4.267191E+1	1.625194E-11
-8.117000E+2	-2.104753E-9	4.929737E-11	-4.269504E+1	1.634614E-11
-8.115999E+2	-2.105568E-9	4.932488E-11	-4.268775E+1	1.618150E-11
-8.115001E+2	-2.108061E-9	4.935573E-11	-4.271158E+1	1.631008E-11
-8.114000E+2	-2.109125E-9	4.937752E-11	-4.271428E+1	1.625423E-11
-8.113000E+2	-2.110919E-9	4.941636E-11	-4.271701E+1	1.637912E-11
-8.112000E+2	-2.113393E-9	4.945051E-11	-4.273754E+1	1.648852E-11
-8.111001E+2	-2.115590E-9	4.947335E-11	-4.276221E+1	1.641438E-11
-8.109999E+2	-2.115231E-9	4.950952E-11	-4.272372E+1	1.630918E-11
-8.109000E+2	-2.116972E-9	4.952870E-11	-4.274233E+1	1.632087E-11
-8.107999E+2	-2.117723E-9	4.955565E-11	-4.273424E+1	1.626023E-11
-8.107001E+2	-2.120834E-9	4.960436E-11	-4.275499E+1	1.639191E-11
-8.106000E+2	-2.123520E-9	4.962668E-11	-4.278989E+1	1.654267E-11
-8.105000E+2	-2.124324E-9	4.966171E-11	-4.277589E+1	1.636093E-11
-8.104000E+2	-2.126267E-9	4.969971E-11	-4.278228E+1	1.672559E-11
-8.103001E+2	-2.128365E-9	4.973631E-11	-4.279298E+1	1.668913E-11
-8.101999E+2	-2.130169E-9	4.975098E-11	-4.281662E+1	1.687226E-11
-8.101000E+2	-2.133685E-9	4.980951E-11	-4.283690E+1	1.693330E-11
-8.099999E+2	-2.134056E-9	4.981514E-11	-4.283951E+1	1.623505E-11
-8.099001E+2	-2.134874E-9	4.984635E-11	-4.282909E+1	1.673998E-11
-8.098000E+2	-2.136014E-9	4.989116E-11	-4.281348E+1	1.631138E-11
-8.097000E+2	-2.139376E-9	4.989654E-11	-4.287624E+1	1.773446E-11
-8.096000E+2	-2.139874E-9	4.994949E-11	-4.284076E+1	1.724112E-11
-8.095001E+2	-2.139704E-9	4.995115E-11	-4.283593E+1	1.736730E-11
-8.093999E+2	-2.141552E-9	4.996466E-11	-4.286133E+1	1.712763E-11
-8.093000E+2	-2.142886E-9	5.003353E-11	-4.282900E+1	1.726110E-11
-8.091999E+2	-2.146179E-9	5.008267E-11	-4.285273E+1	1.735312E-11
-8.091001E+2	-2.150342E-9	5.016974E-11	-4.286133E+1	1.740277E-11
-8.090000E+2	-2.152499E-9	5.024331E-11	-4.284150E+1	1.721904E-11
-8.089000E+2	-2.160186E-9	5.034090E-11	-4.291115E+1	1.744963E-11
-8.088000E+2	-2.161536E-9	5.036094E-11	-4.292088E+1	1.756962E-11
-8.087001E+2	-2.162188E-9	5.040418E-11	-4.289700E+1	1.735841E-11
-8.086000E+2	-2.164874E-9	5.041447E-11	-4.294152E+1	1.752526E-11
-8.085000E+2	-2.165614E-9	5.043198E-11	-4.294128E+1	1.743774E-11
-8.084000E+2	-2.166817E-9	5.046305E-11	-4.293868E+1	1.759689E-11
-8.082999E+2	-2.168172E-9	5.048712E-11	-4.294505E+1	1.755993E-11
