Energy_240120_022	Is (A)_1_240120_022	Im (A)_1_240120_022	Is/Im (#)_1_240120_022	Keithley Source (A)_2_240120_022
-8.150124E+2	-4.824798E-10	5.292697E-11	-9.115954E+0	5.749094E-11
-8.149000E+2	-4.792716E-10	5.292206E-11	-9.056178E+0	5.729703E-11
-8.148001E+2	-4.772835E-10	5.296203E-11	-9.011805E+0	5.737025E-11
-8.147000E+2	-4.755035E-10	5.298230E-11	-8.974761E+0	5.754298E-11
-8.146000E+2	-4.761658E-10	5.298952E-11	-8.986037E+0	5.772062E-11
-8.145000E+2	-4.749461E-10	5.298577E-11	-8.963654E+0	5.783771E-11
-8.144000E+2	-4.768633E-10	5.297060E-11	-9.002415E+0	5.806350E-11
-8.143000E+2	-4.731828E-10	5.307282E-11	-8.915727E+0	5.804931E-11
-8.141999E+2	-4.702692E-10	5.303933E-11	-8.866424E+0	5.804163E-11
-8.141000E+2	-4.691141E-10	5.305432E-11	-8.842147E+0	5.814573E-11
-8.139999E+2	-4.690882E-10	5.305191E-11	-8.842061E+0	5.826212E-11
-8.139000E+2	-4.703760E-10	5.307193E-11	-8.862990E+0	5.827022E-11
-8.138000E+2	-4.665589E-10	5.306792E-11	-8.791731E+0	5.831637E-11
-8.137000E+2	-4.672935E-10	5.309057E-11	-8.801817E+0	5.844306E-11
-8.136000E+2	-4.657091E-10	5.309782E-11	-8.770776E+0	5.850469E-11
-8.135001E+2	-4.652549E-10	5.310886E-11	-8.760401E+0	5.854806E-11
-8.133999E+2	-4.644176E-10	5.310553E-11	-8.745183E+0	5.866626E-11
-8.133000E+2	-4.657754E-10	5.312191E-11	-8.768047E+0	5.876157E-11
-8.131999E+2	-4.650967E-10	5.313196E-11	-8.753615E+0	5.883689E-11
-8.131001E+2	-4.649592E-10	5.315173E-11	-8.747772E+0	5.909714E-11
-8.130000E+2	-4.648606E-10	5.314297E-11	-8.747358E+0	5.913133E-11
-8.129000E+2	-4.646561E-10	5.317008E-11	-8.739052E+0	5.906849E-11
-8.128000E+2	-4.648832E-10	5.317644E-11	-8.742278E+0	5.906110E-11
-8.127001E+2	-4.641634E-10	5.317762E-11	-8.728548E+0	5.909315E-11
-8.125999E+2	-4.640759E-10	5.319225E-11	-8.724502E+0	5.922113E-11
-8.125000E+2	-4.633651E-10	5.321258E-11	-8.707811E+0	5.933474E-11
-8.123999E+2	-4.633469E-10	5.321020E-11	-8.707859E+0	5.950828E-11
-8.123001E+2	-4.651671E-10	5.322489E-11	-8.739654E+0	5.962566E-11
-8.122000E+2	-4.649995E-10	5.324046E-11	-8.733950E+0	5.974996E-11
-8.121000E+2	-4.656676E-10	5.324752E-11	-8.745339E+0	5.975675E-11
-8.120000E+2	-4.665752E-10	5.324234E-11	-8.763236E+0	5.979250E-11
-8.119001E+2	-4.653215E-10	5.325956E-11	-8.736863E+0	5.992740E-11
-8.117999E+2	-4.627922E-10	5.327613E-11	-8.686671E+0	6.001222E-11
-8.117000E+2	-4.642580E-10	5.326675E-11	-8.715719E+0	6.010254E-11
-8.115999E+2	-4.644438E-10	5.328539E-11	-8.716157E+0	6.023081E-11
-8.115001E+2	-4.643119E-10	5.330073E-11	-8.711173E+0	6.020514E-11
-8.114000E+2	-4.621603E-10	5.330828E-11	-8.669578E+0	6.028027E-11
-8.113000E+2	-4.632089E-10	5.329878E-11	-8.690797E+0	6.035889E-11
-8.112000E+2	-4.626610E-10	5.331168E-11	-8.678417E+0	6.040845E-11
-8.111001E+2	-4.607670E-10	5.332817E-11	-8.640218E+0	6.041764E-11
-8.109999E+2	-4.592503E-10	5.332746E-11	-8.611892E+0	6.043731E-11
-8.109000E+2	-4.592366E-10	5.335071E-11	-8.607882E+0	6.049788E-11
