Energy_240120_003	Is (A)_1_240120_003	Im (A)_1_240120_003	Is/Im (#)_1_240120_003	Keithley Source (A)_2_240120_003
-8.150362E+2	-1.716600E-10	5.323630E-11	-3.224492E+0	4.211292E-11
-8.149000E+2	-1.713744E-10	5.323555E-11	-3.219172E+0	4.210264E-11
-8.148001E+2	-1.712643E-10	5.325696E-11	-3.215811E+0	4.224560E-11
-8.147000E+2	-1.710960E-10	5.327742E-11	-3.211417E+0	4.224430E-11
-8.146000E+2	-1.707806E-10	5.329397E-11	-3.204501E+0	4.239328E-11
-8.145000E+2	-1.707017E-10	5.331265E-11	-3.201899E+0	4.239906E-11
-8.144000E+2	-1.703571E-10	5.333936E-11	-3.193835E+0	4.246719E-11
-8.143000E+2	-1.701834E-10	5.336556E-11	-3.189012E+0	4.250817E-11
-8.141999E+2	-1.699451E-10	5.338113E-11	-3.183618E+0	4.253415E-11
-8.141000E+2	-1.698167E-10	5.341686E-11	-3.179084E+0	4.254922E-11
-8.139999E+2	-1.698079E-10	5.342824E-11	-3.178242E+0	4.259178E-11
-8.139000E+2	-1.693905E-10	5.342768E-11	-3.170463E+0	4.263444E-11
-8.138000E+2	-1.690339E-10	5.354303E-11	-3.156973E+0	4.260668E-11
-8.137000E+2	-1.688916E-10	5.348442E-11	-3.157772E+0	4.267411E-11
-8.136000E+2	-1.686744E-10	5.351344E-11	-3.152001E+0	4.268781E-11
-8.135001E+2	-1.685475E-10	5.353966E-11	-3.148087E+0	4.274555E-11
-8.133999E+2	-1.682410E-10	5.355990E-11	-3.141175E+0	4.283736E-11
-8.133000E+2	-1.680687E-10	5.357852E-11	-3.136867E+0	4.285795E-11
-8.131999E+2	-1.678700E-10	5.358419E-11	-3.132827E+0	4.298342E-11
-8.131001E+2	-1.676647E-10	5.361147E-11	-3.127404E+0	4.304156E-11
-8.130000E+2	-1.674277E-10	5.364088E-11	-3.121271E+0	4.303310E-11
-8.129000E+2	-1.673344E-10	5.365918E-11	-3.118467E+0	4.302629E-11
-8.128000E+2	-1.672103E-10	5.366899E-11	-3.115585E+0	4.319534E-11
-8.127001E+2	-1.670041E-10	5.369462E-11	-3.110258E+0	4.319033E-11
-8.125999E+2	-1.668597E-10	5.372528E-11	-3.105795E+0	4.326687E-11
-8.125000E+2	-1.666714E-10	5.373690E-11	-3.101619E+0	4.340524E-11
-8.123999E+2	-1.666119E-10	5.375564E-11	-3.099431E+0	4.356559E-11
-8.123001E+2	-1.666537E-10	5.378104E-11	-3.098744E+0	4.358767E-11
-8.122000E+2	-1.666321E-10	5.379852E-11	-3.097336E+0	4.360345E-11
-8.121000E+2	-1.664326E-10	5.380433E-11	-3.093294E+0	4.354231E-11
-8.120000E+2	-1.664455E-10	5.383324E-11	-3.091872E+0	4.371365E-11
-8.119001E+2	-1.664179E-10	5.385068E-11	-3.090358E+0	4.383872E-11
-8.117999E+2	-1.663616E-10	5.386289E-11	-3.088613E+0	4.380516E-11
-8.117000E+2	-1.664193E-10	5.387680E-11	-3.088886E+0	4.374113E-11
-8.115999E+2	-1.663737E-10	5.390506E-11	-3.086421E+0	4.382924E-11
