Energy_240120_013	Is (A)_1_240120_013	Im (A)_1_240120_013	Is/Im (#)_1_240120_013	Keithley Source (A)_2_240120_013
-8.150005E+2	-3.573092E-10	5.620227E-11	-6.357558E+0	6.780335E-11
-8.149000E+2	-3.569653E-10	5.623931E-11	-6.347256E+0	6.667818E-11
-8.148001E+2	-3.580359E-10	5.621619E-11	-6.368911E+0	6.678199E-11
-8.147000E+2	-3.558656E-10	5.622661E-11	-6.329131E+0	6.688829E-11
-8.146000E+2	-3.561229E-10	5.623883E-11	-6.332331E+0	6.673582E-11
-8.145000E+2	-3.555513E-10	5.626006E-11	-6.319782E+0	6.699170E-11
-8.144000E+2	-3.552806E-10	5.626275E-11	-6.314668E+0	6.695313E-11
-8.143000E+2	-3.533594E-10	5.627006E-11	-6.279705E+0	6.712687E-11
-8.141999E+2	-3.535490E-10	5.628314E-11	-6.281615E+0	6.708750E-11
-8.141000E+2	-3.522130E-10	5.628406E-11	-6.257775E+0	6.704106E-11
-8.139999E+2	-3.523067E-10	5.629246E-11	-6.258506E+0	6.727562E-11
-8.139000E+2	-3.510991E-10	5.631697E-11	-6.234339E+0	6.734296E-11
-8.138000E+2	-3.511422E-10	5.630267E-11	-6.236688E+0	6.749683E-11
-8.137000E+2	-3.499143E-10	5.632534E-11	-6.212378E+0	6.764139E-11
-8.136000E+2	-3.501721E-10	5.631658E-11	-6.217922E+0	6.755106E-11
-8.135001E+2	-3.487939E-10	5.634903E-11	-6.189883E+0	6.762352E-11
-8.133999E+2	-3.485315E-10	5.635248E-11	-6.184848E+0	6.761301E-11
-8.133000E+2	-3.480631E-10	5.635406E-11	-6.176362E+0	6.782162E-11
-8.131999E+2	-3.470889E-10	5.634109E-11	-6.160493E+0	6.789536E-11
-8.131001E+2	-3.468926E-10	5.636583E-11	-6.154307E+0	6.794941E-11
-8.130000E+2	-3.464588E-10	5.635613E-11	-6.147668E+0	6.805359E-11
-8.129000E+2	-3.463842E-10	5.638614E-11	-6.143073E+0	6.807949E-11
-8.128000E+2	-3.462020E-10	5.637961E-11	-6.140553E+0	6.818268E-11
-8.127001E+2	-3.457578E-10	5.639732E-11	-6.130749E+0	6.824982E-11
-8.125999E+2	-3.456320E-10	5.639413E-11	-6.128865E+0	6.842156E-11
-8.125000E+2	-3.451912E-10	5.639481E-11	-6.120975E+0	6.824603E-11
-8.123999E+2	-3.450112E-10	5.640898E-11	-6.116246E+0	6.850728E-11
-8.123001E+2	-3.449177E-10	5.641480E-11	-6.113958E+0	6.883027E-11
-8.122000E+2	-3.448596E-10	5.642100E-11	-6.112256E+0	6.880781E-11
-8.121000E+2	-3.446540E-10	5.641476E-11	-6.109288E+0	6.873877E-11
-8.120000E+2	-3.445572E-10	5.642142E-11	-6.106851E+0	6.878940E-11
-8.119001E+2	-3.443179E-10	5.643923E-11	-6.100684E+0	6.880141E-11
-8.117999E+2	-3.444879E-10	5.644340E-11	-6.103245E+0	6.920575E-11
-8.117000E+2	-3.443130E-10	5.644380E-11	-6.100103E+0	6.909454E-11
-8.115999E+2	-3.444909E-10	5.644225E-11	-6.103423E+0	6.917856E-11
-8.115001E+2	-3.442744E-10	5.644731E-11	-6.099040E+0	6.934270E-11
-8.114000E+2	-3.442129E-10	5.646290E-11	-6.096267E+0	6.935520E-11
-8.113000E+2	-3.444240E-10	5.644438E-11	-6.102007E+0	6.950466E-11
-8.112000E+2	-3.440933E-10	5.646984E-11	-6.093400E+0	6.946312E-11
-8.111001E+2	-3.443175E-10	5.646304E-11	-6.098104E+0	6.961247E-11
-8.109999E+2	-3.443715E-10	5.647865E-11	-6.097375E+0	6.976401E-11
-8.109000E+2	-3.443377E-10	5.647878E-11	-6.096762E+0	6.972734E-11
-8.107999E+2	-3.445003E-10	5.647913E-11	-6.099604E+0	6.981368E-11
-8.107001E+2	-3.444429E-10	5.648241E-11	-6.098233E+0	7.018762E-11
-8.106000E+2	-3.446815E-10	5.647544E-11	-6.103211E+0	7.023796E-11
-8.105000E+2	-3.445008E-10	5.653323E-11	-6.093775E+0	7.035469E-11
-8.104000E+2	-3.441721E-10	5.656136E-11	-6.084933E+0	7.045080E-11
-8.103001E+2	-3.444400E-10	5.660642E-11	-6.084822E+0	7.042842E-11
-8.101999E+2	-3.447744E-10	5.664211E-11	-6.086892E+0	7.083284E-11
-8.101000E+2	-3.455499E-10	5.669982E-11	-6.094374E+0	7.084503E-11
-8.099999E+2	-3.453938E-10	5.672702E-11	-6.088700E+0	7.078257E-11
-8.099001E+2	-3.451731E-10	5.657533E-11	-6.101124E+0	7.102287E-11
-8.098000E+2	-3.447922E-10	5.677460E-11	-6.073001E+0	7.107361E-11
-8.097000E+2	-3.447548E-10	5.671909E-11	-6.078285E+0	7.117111E-11
-8.096000E+2	-3.442366E-10	5.673187E-11	-6.067782E+0	7.123867E-11
-8.095001E+2	-3.438164E-10	5.673193E-11	-6.060368E+0	7.132359E-11
-8.093999E+2	-3.435466E-10	5.671600E-11	-6.057314E+0	7.135426E-11
-8.093000E+2	-3.427743E-10	5.673988E-11	-6.041153E+0	7.149142E-11
-8.091999E+2	-3.421987E-10	5.672735E-11	-6.032341E+0	7.177058E-11
-8.091001E+2	-3.416522E-10	5.672724E-11	-6.022719E+0	7.182271E-11
-8.090000E+2	-3.408329E-10	5.673574E-11	-6.007376E+0	7.184820E-11
-8.089000E+2	-3.401862E-10	5.673069E-11	-5.996511E+0	7.184161E-11
-8.088000E+2	-3.392507E-10	5.673912E-11	-5.979132E+0	7.207678E-11
-8.087001E+2	-3.387227E-10	5.674376E-11	-5.969338E+0	7.219908E-11
-8.086000E+2	-3.379644E-10	5.675743E-11	-5.954540E+0	7.218169E-11
-8.085000E+2	-3.369625E-10	5.674616E-11	-5.938067E+0	7.232104E-11
-8.084000E+2	-3.364606E-10	5.675282E-11	-5.928527E+0	7.221895E-11
-8.082999E+2	-3.356717E-10	5.676405E-11	-5.913456E+0	7.235592E-11
-8.082001E+2	-3.348768E-10	5.676698E-11	-5.899148E+0	7.242935E-11
-8.081001E+2	-3.342033E-10	5.677677E-11	-5.886268E+0	7.247942E-11
-8.080001E+2	-3.333935E-10	5.676964E-11	-5.872743E+0	7.263815E-11
-8.078999E+2	-3.324802E-10	5.678167E-11	-5.855414E+0	7.271587E-11
-8.078000E+2	-3.322027E-10	5.675548E-11	-5.853227E+0	7.285625E-11
-8.077001E+2	-3.315283E-10	5.678092E-11	-5.838727E+0	7.291600E-11
-8.076000E+2	-3.307619E-10	5.677167E-11	-5.826179E+0	7.297493E-11
-8.075000E+2	-3.306304E-10	5.677296E-11	-5.823730E+0	7.255453E-11
-8.073999E+2	-3.300930E-10	5.677270E-11	-5.814291E+0	7.297326E-11
-8.072999E+2	-3.296552E-10	5.677440E-11	-5.806406E+0	7.151840E-11
