Energy_240120_063	Is (A)_1_240120_063	Im (A)_1_240120_063	Is/Im (#)_1_240120_063	Keithley Source (A)_2_240120_063
-8.150005E+2	-7.756499E-10	4.611257E-11	-1.682079E+1	3.473555E-11
-8.149000E+2	-7.744122E-10	4.611942E-11	-1.679146E+1	3.485775E-11
-8.148001E+2	-7.763453E-10	4.610797E-11	-1.683755E+1	3.473286E-11
-8.147000E+2	-7.740183E-10	4.612262E-11	-1.678175E+1	3.480620E-11
-8.146000E+2	-7.753977E-10	4.616408E-11	-1.679656E+1	3.486904E-11
-8.145000E+2	-7.738900E-10	4.617256E-11	-1.676082E+1	3.487624E-11
-8.144000E+2	-7.747902E-10	4.621361E-11	-1.676541E+1	3.495006E-11
-8.143000E+2	-7.736664E-10	4.622528E-11	-1.673687E+1	3.506665E-11
-8.141999E+2	-7.747867E-10	4.623717E-11	-1.675679E+1	3.505157E-11
-8.141000E+2	-7.734932E-10	4.625303E-11	-1.672308E+1	3.514558E-11
-8.139999E+2	-7.752581E-10	4.626612E-11	-1.675650E+1	3.511801E-11
-8.139000E+2	-7.724297E-10	4.626835E-11	-1.669456E+1	3.510621E-11
-8.138000E+2	-7.742121E-10	4.629356E-11	-1.672397E+1	3.497624E-11
-8.137000E+2	-7.732022E-10	4.630364E-11	-1.669852E+1	3.551064E-11
-8.136000E+2	-7.752615E-10	4.632673E-11	-1.673465E+1	3.531233E-11
-8.135001E+2	-7.731185E-10	4.633682E-11	-1.668476E+1	3.534350E-11
-8.133999E+2	-7.746363E-10	4.635708E-11	-1.671020E+1	3.530103E-11
-8.133000E+2	-7.727300E-10	4.637007E-11	-1.666441E+1	3.535009E-11
-8.131999E+2	-7.744653E-10	4.637955E-11	-1.669842E+1	3.533720E-11
-8.131001E+2	-7.727835E-10	4.639753E-11	-1.665570E+1	3.549995E-11
-8.130000E+2	-7.745135E-10	4.640346E-11	-1.669086E+1	3.540424E-11
-8.129000E+2	-7.738175E-10	4.642132E-11	-1.666944E+1	3.536248E-11
-8.128000E+2	-7.761000E-10	4.644481E-11	-1.671016E+1	3.547218E-11
-8.127001E+2	-7.740109E-10	4.641097E-11	-1.667733E+1	3.563572E-11
-8.125999E+2	-7.766244E-10	4.644358E-11	-1.672189E+1	3.561924E-11
-8.125000E+2	-7.760625E-10	4.648955E-11	-1.669327E+1	3.559128E-11
-8.123999E+2	-7.791628E-10	4.654457E-11	-1.674014E+1	3.544620E-11
-8.123001E+2	-7.774802E-10	4.659813E-11	-1.668479E+1	3.559716E-11
-8.122000E+2	-7.784209E-10	4.665196E-11	-1.668571E+1	3.591717E-11
-8.121000E+2	-7.800020E-10	4.671177E-11	-1.669819E+1	3.589269E-11
-8.120000E+2	-7.817568E-10	4.677196E-11	-1.671422E+1	3.594584E-11
-8.119001E+2	-7.806009E-10	4.677786E-11	-1.668740E+1	3.593665E-11
-8.117999E+2	-7.828075E-10	4.679297E-11	-1.672917E+1	3.612467E-11
-8.117000E+2	-7.817715E-10	4.681113E-11	-1.670055E+1	3.612387E-11
-8.115999E+2	-7.848160E-10	4.682361E-11	-1.676112E+1	3.614246E-11
-8.115001E+2	-7.825077E-10	4.681564E-11	-1.671466E+1	3.617642E-11
-8.114000E+2	-7.850415E-10	4.686727E-11	-1.675031E+1	3.625255E-11
-8.113000E+2	-7.833005E-10	4.688052E-11	-1.670844E+1	3.631220E-11
-8.112000E+2	-7.858866E-10	4.689250E-11	-1.675932E+1	3.633577E-11
-8.111001E+2	-7.842582E-10	4.691409E-11	-1.671690E+1	3.644338E-11
-8.109999E+2	-7.862316E-10	4.692484E-11	-1.675513E+1	3.660723E-11
-8.109000E+2	-7.843629E-10	4.694257E-11	-1.670899E+1	3.653519E-11
-8.107999E+2	-7.850147E-10	4.694964E-11	-1.672036E+1	3.643838E-11
-8.107001E+2	-7.851486E-10	4.697770E-11	-1.671322E+1	3.658005E-11
-8.106000E+2	-7.868717E-10	4.697678E-11	-1.675023E+1	3.654028E-11
-8.105000E+2	-7.853140E-10	4.698893E-11	-1.671274E+1	3.668225E-11
-8.104000E+2	-7.879402E-10	4.701442E-11	-1.675954E+1	3.679435E-11
-8.103001E+2	-7.866210E-10	4.703583E-11	-1.672387E+1	3.687647E-11
-8.101999E+2	-7.889625E-10	4.705067E-11	-1.676836E+1	3.676318E-11
-8.101000E+2	-7.866073E-10	4.708799E-11	-1.670505E+1	3.682692E-11
-8.099999E+2	-7.869514E-10	4.707802E-11	-1.671590E+1	3.679125E-11
-8.099001E+2	-7.869314E-10	4.708385E-11	-1.671340E+1	3.676578E-11
-8.098000E+2	-7.877872E-10	4.710779E-11	-1.672308E+1	3.689486E-11
