Energy_240120_047	Is (A)_1_240120_047	Im (A)_1_240120_047	Is/Im (#)_1_240120_047	Keithley Source (A)_2_240120_047
-8.150044E+2	-3.400628E-10	4.249103E-11	-8.003167E+0	1.344034E-11
-8.149000E+2	-3.400141E-10	4.233310E-11	-8.031873E+0	1.340228E-11
-8.148001E+2	-3.399203E-10	4.241151E-11	-8.014812E+0	1.349779E-11
-8.147000E+2	-3.399159E-10	4.249536E-11	-7.998894E+0	1.345273E-11
-8.146000E+2	-3.401373E-10	4.256216E-11	-7.991542E+0	1.348231E-11
-8.145000E+2	-3.400084E-10	4.263094E-11	-7.975625E+0	1.343855E-11
-8.144000E+2	-3.401693E-10	4.272477E-11	-7.961876E+0	1.345573E-11
-8.143000E+2	-3.401961E-10	4.275244E-11	-7.957349E+0	1.355913E-11
-8.141999E+2	-3.400056E-10	4.282460E-11	-7.939493E+0	1.361918E-11
-8.141000E+2	-3.401017E-10	4.289352E-11	-7.928976E+0	1.364875E-11
-8.139999E+2	-3.400747E-10	4.296216E-11	-7.915680E+0	1.370080E-11
-8.139000E+2	-3.398699E-10	4.301922E-11	-7.900420E+0	1.377774E-11
-8.138000E+2	-3.397425E-10	4.306829E-11	-7.888460E+0	1.382549E-11
-8.137000E+2	-3.396417E-10	4.312932E-11	-7.874961E+0	1.379552E-11
-8.136000E+2	-3.395899E-10	4.319587E-11	-7.861629E+0	1.379761E-11
-8.135001E+2	-3.395734E-10	4.325390E-11	-7.850700E+0	1.391361E-11
-8.133999E+2	-3.394022E-10	4.330705E-11	-7.837112E+0	1.393309E-11
-8.133000E+2	-3.390523E-10	4.336006E-11	-7.819461E+0	1.395657E-11
-8.131999E+2	-3.390345E-10	4.341879E-11	-7.808474E+0	1.399423E-11
-8.131001E+2	-3.388973E-10	4.348471E-11	-7.793482E+0	1.400383E-11
-8.130000E+2	-3.386462E-10	4.351123E-11	-7.782961E+0	1.397854E-11
-8.129000E+2	-3.385770E-10	4.362032E-11	-7.761910E+0	1.409854E-11
-8.128000E+2	-3.381897E-10	4.366487E-11	-7.745121E+0	1.405977E-11
-8.127001E+2	-3.379934E-10	4.373110E-11	-7.728902E+0	1.431744E-11
-8.125999E+2	-3.379668E-10	4.377868E-11	-7.719895E+0	1.429036E-11
-8.125000E+2	-3.373605E-10	4.382442E-11	-7.698003E+0	1.422063E-11
-8.123999E+2	-3.371113E-10	4.386760E-11	-7.684745E+0	1.393619E-11
-8.123001E+2	-3.368071E-10	4.390685E-11	-7.670947E+0	1.293791E-11
-8.122000E+2	-3.366514E-10	4.395813E-11	-7.658456E+0	1.420194E-11
-8.121000E+2	-3.365181E-10	4.404787E-11	-7.639827E+0	1.431444E-11
-8.120000E+2	-3.362775E-10	4.408117E-11	-7.628597E+0	1.436909E-11
-8.119001E+2	-3.360766E-10	4.416156E-11	-7.610161E+0	1.446670E-11
