Energy_240120_008	Is (A)_1_240120_008	Im (A)_1_240120_008	Is/Im (#)_1_240120_008	Keithley Source (A)_2_240120_008
-8.150044E+2	-3.086746E-10	5.708993E-11	-5.406813E+0	6.538047E-11
-8.149000E+2	-3.082510E-10	5.708932E-11	-5.399451E+0	6.523652E-11
-8.148001E+2	-3.081865E-10	5.708191E-11	-5.399022E+0	6.522883E-11
-8.147000E+2	-3.080734E-10	5.709075E-11	-5.396205E+0	6.542724E-11
-8.146000E+2	-3.076586E-10	5.710150E-11	-5.387925E+0	6.541524E-11
-8.145000E+2	-3.073210E-10	5.710284E-11	-5.381886E+0	6.551915E-11
-8.144000E+2	-3.069360E-10	5.710885E-11	-5.374579E+0	6.573762E-11
-8.143000E+2	-3.064486E-10	5.713027E-11	-5.364032E+0	6.556659E-11
-8.141999E+2	-3.063445E-10	5.714135E-11	-5.361170E+0	6.575503E-11
-8.141000E+2	-3.057241E-10	5.713778E-11	-5.350647E+0	6.579867E-11
-8.139999E+2	-3.053033E-10	5.724494E-11	-5.333280E+0	6.595394E-11
-8.139000E+2	-3.050297E-10	5.716918E-11	-5.335562E+0	6.591497E-11
-8.138000E+2	-3.043849E-10	5.715698E-11	-5.325420E+0	6.599032E-11
-8.137000E+2	-3.041612E-10	5.716761E-11	-5.320516E+0	6.612618E-11
-8.136000E+2	-3.037083E-10	5.716711E-11	-5.312640E+0	6.613906E-11
-8.135001E+2	-3.033424E-10	5.717543E-11	-5.305468E+0	6.637836E-11
-8.133999E+2	-3.027880E-10	5.719968E-11	-5.293526E+0	6.626694E-11
-8.133000E+2	-3.024807E-10	5.718774E-11	-5.289258E+0	6.644599E-11
-8.131999E+2	-3.021292E-10	5.719742E-11	-5.282217E+0	6.670384E-11
-8.131001E+2	-3.017222E-10	5.719685E-11	-5.275154E+0	6.662991E-11
-8.130000E+2	-3.015341E-10	5.721380E-11	-5.270304E+0	6.671953E-11
-8.129000E+2	-3.011936E-10	5.721583E-11	-5.264166E+0	6.668285E-11
-8.128000E+2	-3.008784E-10	5.721918E-11	-5.258349E+0	6.697108E-11
-8.127001E+2	-3.005408E-10	5.722362E-11	-5.252041E+0	6.695841E-11
-8.125999E+2	-3.004917E-10	5.723404E-11	-5.250227E+0	6.694082E-11
-8.125000E+2	-3.003783E-10	5.726469E-11	-5.245437E+0	6.705620E-11
-8.123999E+2	-3.001056E-10	5.723499E-11	-5.243394E+0	6.745974E-11
-8.123001E+2	-3.000989E-10	5.726514E-11	-5.240516E+0	6.731259E-11
-8.122000E+2	-2.999015E-10	5.725517E-11	-5.237981E+0	6.728630E-11
-8.121000E+2	-2.999328E-10	5.727541E-11	-5.236677E+0	6.737801E-11
-8.120000E+2	-2.997490E-10	5.725683E-11	-5.235166E+0	6.763139E-11
-8.119001E+2	-2.997569E-10	5.726705E-11	-5.234370E+0	6.758102E-11
-8.117999E+2	-2.998388E-10	5.727540E-11	-5.235036E+0	6.766686E-11
-8.117000E+2	-2.997999E-10	5.728976E-11	-5.233045E+0	6.786009E-11
-8.115999E+2	-2.998354E-10	5.729503E-11	-5.233183E+0	6.780741E-11
-8.115001E+2	-2.999195E-10	5.729193E-11	-5.234934E+0	6.795309E-11
-8.114000E+2	-2.999551E-10	5.730702E-11	-5.234177E+0	6.796636E-11
-8.113000E+2	-3.000346E-10	5.729027E-11	-5.237095E+0	6.805389E-11
-8.112000E+2	-3.000482E-10	5.730340E-11	-5.236133E+0	6.820785E-11
-8.111001E+2	-3.003153E-10	5.730762E-11	-5.240408E+0	6.827640E-11
-8.109999E+2	-3.002906E-10	5.730674E-11	-5.240057E+0	6.833334E-11
-8.109000E+2	-3.003804E-10	5.732093E-11	-5.240327E+0	6.851465E-11
-8.107999E+2	-3.006436E-10	5.731500E-11	-5.245461E+0	6.851056E-11
-8.107001E+2	-3.006319E-10	5.731821E-11	-5.244963E+0	6.866623E-11
-8.106000E+2	-3.006942E-10	5.732517E-11	-5.245413E+0	6.865782E-11
-8.105000E+2	-3.005515E-10	5.732744E-11	-5.242716E+0	6.874497E-11
-8.104000E+2	-3.007971E-10	5.732169E-11	-5.247527E+0	6.892589E-11
-8.103001E+2	-3.006789E-10	5.733090E-11	-5.244622E+0	6.887533E-11
-8.101999E+2	-3.006803E-10	5.733411E-11	-5.244353E+0	6.907325E-11
-8.101000E+2	-3.005759E-10	5.733677E-11	-5.242289E+0	6.909144E-11
-8.099999E+2	-3.003396E-10	5.733787E-11	-5.238067E+0	6.917664E-11
-8.099001E+2	-3.001782E-10	5.728778E-11	-5.239830E+0	6.922121E-11
-8.098000E+2	-3.001616E-10	5.738127E-11	-5.231003E+0	6.929605E-11
-8.097000E+2	-3.000621E-10	5.735624E-11	-5.231551E+0	6.948477E-11
-8.096000E+2	-2.995125E-10	5.736556E-11	-5.221120E+0	6.944720E-11
-8.095001E+2	-2.993916E-10	5.735126E-11	-5.220314E+0	6.961905E-11
-8.093999E+2	-2.988014E-10	5.735418E-11	-5.209758E+0	6.985194E-11
-8.093000E+2	-2.986307E-10	5.734539E-11	-5.207580E+0	6.999631E-11
-8.091999E+2	-2.980662E-10	5.736311E-11	-5.196130E+0	7.016023E-11
-8.091001E+2	-2.974864E-10	5.736339E-11	-5.185998E+0	7.024897E-11
-8.090000E+2	-2.970901E-10	5.734537E-11	-5.180716E+0	7.028105E-11
-8.089000E+2	-2.964872E-10	5.736575E-11	-5.168366E+0	7.048434E-11
-8.088000E+2	-2.957350E-10	5.736780E-11	-5.155070E+0	7.058107E-11
-8.087001E+2	-2.954761E-10	5.735607E-11	-5.151610E+0	7.021380E-11
-8.086000E+2	-2.949958E-10	5.735675E-11	-5.143175E+0	7.032221E-11
-8.085000E+2	-2.944295E-10	5.736949E-11	-5.132162E+0	7.044459E-11
-8.084000E+2	-2.938405E-10	5.736648E-11	-5.122164E+0	7.071056E-11
-8.082999E+2	-2.931119E-10	5.735671E-11	-5.110333E+0	7.067647E-11
-8.082001E+2	-2.926741E-10	5.735987E-11	-5.102419E+0	7.092107E-11
-8.081001E+2	-2.921522E-10	5.736355E-11	-5.092994E+0	7.085651E-11
-8.080001E+2	-2.917552E-10	5.737593E-11	-5.084976E+0	7.099967E-11
-8.078999E+2	-2.911693E-10	5.736781E-11	-5.075482E+0	7.114535E-11
