Energy_240120_028	Is (A)_1_240120_028	Im (A)_1_240120_028	Is/Im (#)_1_240120_028	Keithley Source (A)_2_240120_028
-8.151078E+2	-6.995985E-10	5.511189E-11	-1.269415E+1	4.992952E-11
-8.149000E+2	-6.939481E-10	5.511586E-11	-1.259072E+1	5.000725E-11
-8.148001E+2	-6.884054E-10	5.516193E-11	-1.247972E+1	4.993772E-11
-8.147000E+2	-6.838072E-10	5.516648E-11	-1.239534E+1	5.007109E-11
-8.146000E+2	-6.757921E-10	5.519302E-11	-1.224416E+1	5.011325E-11
-8.145000E+2	-6.728949E-10	5.521133E-11	-1.218762E+1	5.020707E-11
-8.144000E+2	-6.668810E-10	5.520307E-11	-1.208051E+1	5.020587E-11
-8.143000E+2	-6.624631E-10	5.530319E-11	-1.197875E+1	5.028610E-11
-8.141999E+2	-6.583421E-10	5.525649E-11	-1.191429E+1	5.040838E-11
-8.141000E+2	-6.550836E-10	5.528657E-11	-1.184887E+1	5.043276E-11
-8.139999E+2	-6.522148E-10	5.530000E-11	-1.179412E+1	5.048700E-11
-8.139000E+2	-6.495154E-10	5.531205E-11	-1.174275E+1	5.037590E-11
-8.138000E+2	-6.468485E-10	5.532742E-11	-1.169128E+1	5.045094E-11
-8.137000E+2	-6.446128E-10	5.534557E-11	-1.164705E+1	5.058441E-11
-8.136000E+2	-6.423205E-10	5.535246E-11	-1.160419E+1	5.060919E-11
-8.135001E+2	-6.408441E-10	5.536627E-11	-1.157463E+1	5.067722E-11
-8.133999E+2	-6.391165E-10	5.539835E-11	-1.153674E+1	5.074427E-11
-8.133000E+2	-6.382410E-10	5.539402E-11	-1.152184E+1	5.075265E-11
-8.131999E+2	-6.370819E-10	5.542149E-11	-1.149521E+1	5.089702E-11
-8.131001E+2	-6.358319E-10	5.544079E-11	-1.146867E+1	5.100732E-11
-8.130000E+2	-6.349843E-10	5.544163E-11	-1.145320E+1	5.110124E-11
-8.129000E+2	-6.340948E-10	5.547971E-11	-1.142931E+1	5.108784E-11
-8.128000E+2	-6.332088E-10	5.546490E-11	-1.141639E+1	5.101500E-11
-8.127001E+2	-6.322704E-10	5.550146E-11	-1.139196E+1	5.110222E-11
-8.125999E+2	-6.329868E-10	5.554533E-11	-1.139586E+1	5.112140E-11
-8.125000E+2	-6.309571E-10	5.551766E-11	-1.136498E+1	5.129186E-11
-8.123999E+2	-6.315969E-10	5.554996E-11	-1.136989E+1	5.136339E-11
-8.123001E+2	-6.291351E-10	5.555410E-11	-1.132473E+1	5.158977E-11
-8.122000E+2	-6.299117E-10	5.556703E-11	-1.133607E+1	5.158008E-11
-8.121000E+2	-6.283922E-10	5.552666E-11	-1.131695E+1	5.157579E-11
-8.120000E+2	-6.265433E-10	5.561618E-11	-1.126549E+1	5.160466E-11
-8.119001E+2	-6.234649E-10	5.557027E-11	-1.121940E+1	5.163773E-11
-8.117999E+2	-6.214927E-10	5.563185E-11	-1.117153E+1	5.182307E-11
-8.117000E+2	-6.211332E-10	5.564733E-11	-1.116196E+1	5.189610E-11
-8.115999E+2	-6.172112E-10	5.565272E-11	-1.109040E+1	5.204205E-11
-8.115001E+2	-6.153230E-10	5.566268E-11	-1.105450E+1	5.204367E-11
-8.114000E+2	-6.131932E-10	5.567736E-11	-1.101333E+1	5.205456E-11
-8.113000E+2	-6.111687E-10	5.570278E-11	-1.097196E+1	5.217463E-11
-8.112000E+2	-6.094228E-10	5.570504E-11	-1.094017E+1	5.233269E-11
-8.111001E+2	-6.077790E-10	5.575469E-11	-1.090095E+1	5.217383E-11
-8.109999E+2	-6.062652E-10	5.572104E-11	-1.088036E+1	5.233409E-11
-8.109000E+2	-6.050231E-10	5.574835E-11	-1.085275E+1	5.238743E-11
-8.107999E+2	-6.038200E-10	5.574904E-11	-1.083104E+1	5.247755E-11
-8.107001E+2	-6.026447E-10	5.578012E-11	-1.080393E+1	5.253920E-11
-8.106000E+2	-6.017957E-10	5.576629E-11	-1.079139E+1	5.263580E-11
-8.105000E+2	-6.010906E-10	5.579057E-11	-1.077405E+1	5.268177E-11
-8.104000E+2	-6.003167E-10	5.582979E-11	-1.075262E+1	5.283663E-11
-8.103001E+2	-5.997663E-10	5.584168E-11	-1.074048E+1	5.258316E-11
-8.101999E+2	-5.991382E-10	5.581094E-11	-1.073514E+1	5.283564E-11
-8.101000E+2	-5.987908E-10	5.587000E-11	-1.071757E+1	5.288628E-11
-8.099999E+2	-5.984542E-10	5.586120E-11	-1.071324E+1	5.298389E-11
