Energy_240120_016	Is (A)_1_240120_016	Im (A)_1_240120_016	Is/Im (#)_1_240120_016	Keithley Source (A)_2_240120_016
-8.150005E+2	-3.811700E-10	5.334953E-11	-7.144768E+0	5.092322E-11
-8.149051E+2	-3.804443E-10	5.334188E-11	-7.132188E+0	5.109296E-11
-8.148001E+2	-3.809753E-10	5.336745E-11	-7.138720E+0	5.120157E-11
-8.147000E+2	-3.794096E-10	5.341774E-11	-7.102689E+0	5.134194E-11
-8.146000E+2	-3.799997E-10	5.340447E-11	-7.115504E+0	5.134413E-11
-8.145000E+2	-3.778142E-10	5.348307E-11	-7.064183E+0	5.149080E-11
-8.144000E+2	-3.793643E-10	5.351082E-11	-7.089488E+0	5.124542E-11
-8.143000E+2	-3.768957E-10	5.361138E-11	-7.030144E+0	5.168841E-11
-8.141999E+2	-3.782026E-10	5.356446E-11	-7.060700E+0	5.194248E-11
-8.141000E+2	-3.762770E-10	5.359633E-11	-7.020574E+0	5.202579E-11
-8.139999E+2	-3.775775E-10	5.362379E-11	-7.041231E+0	5.219694E-11
-8.139000E+2	-3.751201E-10	5.368303E-11	-6.987685E+0	5.382322E-11
-8.138000E+2	-3.771013E-10	5.368007E-11	-7.024978E+0	5.263224E-11
-8.137000E+2	-3.751441E-10	5.369220E-11	-6.986939E+0	5.267589E-11
-8.136000E+2	-3.762639E-10	5.373656E-11	-7.002009E+0	5.281077E-11
-8.135001E+2	-3.738817E-10	5.375599E-11	-6.955164E+0	5.283634E-11
-8.133999E+2	-3.750558E-10	5.377901E-11	-6.974018E+0	5.297342E-11
-8.133000E+2	-3.737020E-10	5.380673E-11	-6.945265E+0	5.301659E-11
-8.131999E+2	-3.742334E-10	5.383724E-11	-6.951200E+0	5.302269E-11
-8.131001E+2	-3.723559E-10	5.389433E-11	-6.909000E+0	5.335877E-11
-8.130000E+2	-3.730005E-10	5.388755E-11	-6.921831E+0	5.344439E-11
-8.129000E+2	-3.705904E-10	5.391043E-11	-6.874187E+0	5.353310E-11
-8.128000E+2	-3.714815E-10	5.391564E-11	-6.890051E+0	5.362892E-11
-8.127001E+2	-3.703579E-10	5.393394E-11	-6.866880E+0	5.378916E-11
-8.125999E+2	-3.712766E-10	5.397163E-11	-6.879107E+0	5.399878E-11
-8.125000E+2	-3.696808E-10	5.398544E-11	-6.847787E+0	5.396612E-11
-8.123999E+2	-3.703606E-10	5.401531E-11	-6.856586E+0	5.400348E-11
-8.123001E+2	-3.683313E-10	5.404152E-11	-6.815709E+0	5.414515E-11
-8.122000E+2	-3.690204E-10	5.406689E-11	-6.825257E+0	5.439401E-11
-8.121000E+2	-3.684071E-10	5.408443E-11	-6.811703E+0	5.453498E-11
-8.120000E+2	-3.694534E-10	5.410567E-11	-6.828368E+0	5.463390E-11
-8.119001E+2	-3.680490E-10	5.411923E-11	-6.800707E+0	5.480203E-11
-8.117999E+2	-3.690124E-10	5.414565E-11	-6.815181E+0	5.480753E-11
-8.117000E+2	-3.672748E-10	5.415085E-11	-6.782438E+0	5.491325E-11
-8.115999E+2	-3.688452E-10	5.418864E-11	-6.806689E+0	5.509057E-11
-8.115001E+2	-3.668576E-10	5.418515E-11	-6.770445E+0	5.524082E-11
-8.114000E+2	-3.682049E-10	5.423619E-11	-6.788915E+0	5.550147E-11
-8.113000E+2	-3.664843E-10	5.421871E-11	-6.759370E+0	5.543345E-11
-8.112000E+2	-3.681174E-10	5.425841E-11	-6.784522E+0	5.562266E-11
-8.111001E+2	-3.666472E-10	5.427430E-11	-6.755448E+0	5.580649E-11
-8.109999E+2	-3.691834E-10	5.427205E-11	-6.802459E+0	5.587754E-11
-8.109000E+2	-3.672017E-10	5.431987E-11	-6.759989E+0	5.590890E-11
-8.107999E+2	-3.687346E-10	5.431337E-11	-6.789021E+0	5.603129E-11
-8.107001E+2	-3.673052E-10	5.434273E-11	-6.759049E+0	5.622992E-11
-8.106000E+2	-3.690267E-10	5.434698E-11	-6.790197E+0	5.629154E-11
-8.105000E+2	-3.672744E-10	5.436506E-11	-6.755707E+0	5.633650E-11
-8.104000E+2	-3.691280E-10	5.440072E-11	-6.785351E+0	5.655732E-11
-8.103001E+2	-3.676777E-10	5.439952E-11	-6.758841E+0	5.668430E-11
-8.101999E+2	-3.695959E-10	5.439020E-11	-6.795266E+0	5.675222E-11
-8.101000E+2	-3.680269E-10	5.447882E-11	-6.755412E+0	5.685375E-11
-8.099999E+2	-3.696348E-10	5.445605E-11	-6.787764E+0	5.696674E-11
-8.099001E+2	-3.683064E-10	5.447454E-11	-6.761074E+0	5.713558E-11
-8.098000E+2	-3.698483E-10	5.448905E-11	-6.787571E+0	5.725867E-11
-8.097000E+2	-3.687654E-10	5.451843E-11	-6.764050E+0	5.735709E-11
-8.096000E+2	-3.699089E-10	5.452048E-11	-6.784770E+0	5.747758E-11
-8.095001E+2	-3.690387E-10	5.454069E-11	-6.766301E+0	5.753931E-11
-8.093999E+2	-3.698536E-10	5.453930E-11	-6.781415E+0	5.766420E-11
-8.093000E+2	-3.683828E-10	5.457469E-11	-6.750067E+0	5.786521E-11
-8.091999E+2	-3.694346E-10	5.458865E-11	-6.767608E+0	5.780587E-11
-8.091001E+2	-3.679708E-10	5.458356E-11	-6.741422E+0	5.793815E-11
-8.090000E+2	-3.688382E-10	5.462212E-11	-6.752543E+0	5.805534E-11
-8.089000E+2	-3.683914E-10	5.459704E-11	-6.747461E+0	5.821259E-11
-8.088000E+2	-3.679765E-10	5.463432E-11	-6.735263E+0	5.830360E-11
-8.087001E+2	-3.672833E-10	5.464920E-11	-6.720744E+0	5.839501E-11
-8.086000E+2	-3.668284E-10	5.466128E-11	-6.710937E+0	5.856737E-11
-8.085000E+2	-3.661989E-10	5.466887E-11	-6.698490E+0	5.862032E-11
-8.084000E+2	-3.653053E-10	5.468057E-11	-6.680715E+0	5.874619E-11
-8.082999E+2	-3.646633E-10	5.469511E-11	-6.667201E+0	5.896230E-11
-8.082001E+2	-3.640839E-10	5.471361E-11	-6.654357E+0	5.907989E-11
-8.081001E+2	-3.629867E-10	5.473081E-11	-6.632219E+0	5.922375E-11
-8.080001E+2	-3.623046E-10	5.472742E-11	-6.620166E+0	5.934925E-11
-8.078999E+2	-3.613210E-10	5.473392E-11	-6.601409E+0	5.943197E-11
-8.078000E+2	-3.606911E-10	5.475974E-11	-6.586794E+0	5.954377E-11
-8.077001E+2	-3.597686E-10	5.476705E-11	-6.569070E+0	5.952537E-11
-8.076000E+2	-3.588487E-10	5.478491E-11	-6.550138E+0	5.962768E-11
-8.075000E+2	-3.580450E-10	5.478297E-11	-6.535699E+0	5.978255E-11
-8.073999E+2	-3.575866E-10	5.476724E-11	-6.529206E+0	6.002502E-11
-8.072999E+2	-3.559305E-10	5.480847E-11	-6.494078E+0	6.014420E-11
-8.072000E+2	-3.560491E-10	5.482117E-11	-6.494737E+0	6.029208E-11
-8.071000E+2	-3.540225E-10	5.483277E-11	-6.456404E+0	6.035461E-11
-8.070001E+2	-3.551355E-10	5.484690E-11	-6.475033E+0	6.041914E-11
-8.069000E+2	-3.538451E-10	5.486365E-11	-6.449536E+0	6.046979E-11
-8.068001E+2	-3.543901E-10	5.485465E-11	-6.460530E+0	6.056891E-11
-8.067000E+2	-3.523327E-10	5.486867E-11	-6.421382E+0	6.051535E-11
-8.066000E+2	-3.537335E-10	5.488129E-11	-6.445430E+0	6.068320E-11
-8.065000E+2	-3.519947E-10	5.489308E-11	-6.412369E+0	6.082549E-11
-8.064000E+2	-3.541367E-10	5.491258E-11	-6.449100E+0	6.089881E-11
-8.063001E+2	-3.527094E-10	5.491421E-11	-6.422917E+0	6.102019E-11
-8.062000E+2	-3.531369E-10	5.490082E-11	-6.432270E+0	6.106765E-11
-8.061001E+2	-3.526882E-10	5.493183E-11	-6.420471E+0	6.125678E-11
-8.060000E+2	-3.543109E-10	5.496734E-11	-6.445844E+0	6.135550E-11
-8.059000E+2	-3.540377E-10	5.495482E-11	-6.442341E+0	6.139884E-11
-8.057999E+2	-3.549234E-10	5.494469E-11	-6.459649E+0	6.150466E-11
-8.056999E+2	-3.549799E-10	5.496202E-11	-6.458640E+0	6.172245E-11
-8.056000E+2	-3.562144E-10	5.497528E-11	-6.479538E+0	6.176352E-11
-8.055000E+2	-3.556253E-10	5.499966E-11	-6.465955E+0	6.179428E-11
-8.053999E+2	-3.574763E-10	5.498729E-11	-6.501071E+0	6.198581E-11
-8.053000E+2	-3.575833E-10	5.500619E-11	-6.500783E+0	6.214934E-11
-8.051999E+2	-3.590964E-10	5.501417E-11	-6.527344E+0	6.231100E-11
-8.051001E+2	-3.595616E-10	5.501701E-11	-6.535462E+0	6.228863E-11
-8.050001E+2	-3.609617E-10	5.503355E-11	-6.558939E+0	6.263220E-11
-8.049001E+2	-3.616978E-10	5.502779E-11	-6.573002E+0	6.279077E-11
-8.047999E+2	-3.634124E-10	5.504688E-11	-6.601871E+0	6.268955E-11
