Energy_240120_027	Is (A)_1_240120_027	Im (A)_1_240120_027	Is/Im (#)_1_240120_027	Keithley Source (A)_2_240120_027
-8.150084E+2	-6.410104E-10	5.236209E-11	-1.224188E+1	4.353392E-11
-8.149000E+2	-6.410832E-10	5.240799E-11	-1.223255E+1	4.374284E-11
-8.148001E+2	-6.418361E-10	5.246982E-11	-1.223248E+1	4.387450E-11
-8.147000E+2	-6.423466E-10	5.253347E-11	-1.222738E+1	4.394224E-11
-8.146000E+2	-6.428240E-10	5.257403E-11	-1.222703E+1	4.403856E-11
-8.145000E+2	-6.437924E-10	5.261214E-11	-1.223658E+1	4.419212E-11
-8.144000E+2	-6.445046E-10	5.264328E-11	-1.224287E+1	4.428083E-11
-8.143000E+2	-6.454545E-10	5.268970E-11	-1.225011E+1	4.429142E-11
-8.141999E+2	-6.463038E-10	5.272218E-11	-1.225867E+1	4.420750E-11
-8.141000E+2	-6.469890E-10	5.275325E-11	-1.226444E+1	4.441141E-11
-8.139999E+2	-6.476834E-10	5.279971E-11	-1.226680E+1	4.461553E-11
-8.139000E+2	-6.491924E-10	5.281606E-11	-1.229157E+1	4.469205E-11
-8.138000E+2	-6.493157E-10	5.287275E-11	-1.228072E+1	4.482534E-11
-8.137000E+2	-6.490801E-10	5.289713E-11	-1.227061E+1	4.487539E-11
-8.136000E+2	-6.494971E-10	5.293316E-11	-1.227014E+1	4.496870E-11
-8.135001E+2	-6.508016E-10	5.295994E-11	-1.228856E+1	4.520488E-11
-8.133999E+2	-6.483878E-10	5.301559E-11	-1.223013E+1	4.547913E-11
-8.133000E+2	-6.509039E-10	5.304018E-11	-1.227190E+1	4.547894E-11
-8.131999E+2	-6.488654E-10	5.306235E-11	-1.222836E+1	4.556016E-11
-8.131001E+2	-6.501348E-10	5.311416E-11	-1.224033E+1	4.568683E-11
-8.130000E+2	-6.454566E-10	5.314648E-11	-1.214486E+1	4.578914E-11
-8.129000E+2	-6.463287E-10	5.314942E-11	-1.216060E+1	4.586377E-11
-8.128000E+2	-6.421900E-10	5.318469E-11	-1.207472E+1	4.593581E-11
-8.127001E+2	-6.433142E-10	5.322580E-11	-1.208651E+1	4.596609E-11
-8.125999E+2	-6.370811E-10	5.326080E-11	-1.196154E+1	4.607957E-11
-8.125000E+2	-6.343312E-10	5.329831E-11	-1.190153E+1	4.601084E-11
-8.123999E+2	-6.315822E-10	5.332493E-11	-1.184403E+1	4.613084E-11
-8.123001E+2	-6.295219E-10	5.335600E-11	-1.179852E+1	4.634423E-11
-8.122000E+2	-6.273739E-10	5.337828E-11	-1.175336E+1	4.639048E-11
-8.121000E+2	-6.258137E-10	5.340813E-11	-1.171757E+1	4.643544E-11
-8.120000E+2	-6.242740E-10	5.343280E-11	-1.168335E+1	4.656342E-11
-8.119001E+2	-6.230505E-10	5.346843E-11	-1.165268E+1	4.678313E-11
-8.117999E+2	-6.218615E-10	5.348026E-11	-1.162787E+1	4.682040E-11
-8.117000E+2	-6.212812E-10	5.350611E-11	-1.161141E+1	4.689923E-11
-8.115999E+2	-6.203917E-10	5.353591E-11	-1.158833E+1	4.689962E-11
-8.115001E+2	-6.198465E-10	5.356234E-11	-1.157243E+1	4.707836E-11
-8.114000E+2	-6.193815E-10	5.359611E-11	-1.155646E+1	4.722722E-11
-8.113000E+2	-6.192707E-10	5.361800E-11	-1.154968E+1	4.740146E-11
-8.112000E+2	-6.190088E-10	5.364124E-11	-1.153979E+1	4.744832E-11
-8.111001E+2	-6.189605E-10	5.366947E-11	-1.153282E+1	4.745391E-11
-8.109999E+2	-6.185756E-10	5.369173E-11	-1.152087E+1	4.760187E-11
-8.109000E+2	-6.186278E-10	5.372352E-11	-1.151503E+1	4.761625E-11
-8.107999E+2	-6.188847E-10	5.373510E-11	-1.151733E+1	4.775803E-11
-8.107001E+2	-6.188976E-10	5.377309E-11	-1.150943E+1	4.782747E-11
-8.106000E+2	-6.193442E-10	5.380052E-11	-1.151186E+1	4.788580E-11
-8.105000E+2	-6.192959E-10	5.380785E-11	-1.150940E+1	4.791578E-11
-8.104000E+2	-6.196687E-10	5.384250E-11	-1.150891E+1	4.796154E-11
-8.103001E+2	-6.204261E-10	5.386745E-11	-1.151764E+1	4.807283E-11
-8.101999E+2	-6.198203E-10	5.388101E-11	-1.150350E+1	4.822830E-11
-8.101000E+2	-6.192625E-10	5.391038E-11	-1.148689E+1	4.817525E-11
-8.099999E+2	-6.189807E-10	5.393028E-11	-1.147742E+1	4.826606E-11
-8.099001E+2	-6.215292E-10	5.394170E-11	-1.152224E+1	4.847217E-11
-8.098000E+2	-6.190334E-10	5.397258E-11	-1.146941E+1	4.839295E-11
-8.097000E+2	-6.209537E-10	5.399884E-11	-1.149939E+1	4.856717E-11
-8.096000E+2	-6.178460E-10	5.402504E-11	-1.143629E+1	4.870035E-11
-8.095001E+2	-6.162325E-10	5.403505E-11	-1.140431E+1	4.863852E-11
-8.093999E+2	-6.153072E-10	5.404640E-11	-1.138480E+1	4.864541E-11
-8.093000E+2	-6.119816E-10	5.399580E-11	-1.133387E+1	4.872992E-11
-8.091999E+2	-6.104147E-10	5.418667E-11	-1.126503E+1	4.886829E-11
-8.091001E+2	-6.093150E-10	5.411638E-11	-1.125935E+1	4.893843E-11
-8.090000E+2	-6.072326E-10	5.413861E-11	-1.121626E+1	4.899457E-11
-8.089000E+2	-6.048815E-10	5.417219E-11	-1.116590E+1	4.902677E-11
-8.088000E+2	-6.033038E-10	5.418469E-11	-1.113421E+1	4.901636E-11
-8.087001E+2	-6.017916E-10	5.420191E-11	-1.110277E+1	4.902366E-11
-8.086000E+2	-6.005630E-10	5.422387E-11	-1.107562E+1	4.912057E-11
-8.085000E+2	-5.993310E-10	5.423549E-11	-1.105053E+1	4.929731E-11
-8.084000E+2	-5.984226E-10	5.426055E-11	-1.102869E+1	4.939981E-11
-8.082999E+2	-5.980779E-10	5.430023E-11	-1.101428E+1	4.945225E-11
-8.082001E+2	-5.975281E-10	5.431445E-11	-1.100127E+1	4.956216E-11
-8.081001E+2	-5.973293E-10	5.432246E-11	-1.099599E+1	4.956707E-11
-8.080001E+2	-5.971588E-10	5.433565E-11	-1.099018E+1	4.966607E-11
-8.078999E+2	-5.971896E-10	5.436815E-11	-1.098418E+1	4.970624E-11
-8.078000E+2	-5.972555E-10	5.437789E-11	-1.098343E+1	4.975220E-11
-8.077001E+2	-5.974339E-10	5.439965E-11	-1.098231E+1	4.970214E-11
-8.076000E+2	-5.977307E-10	5.439597E-11	-1.098851E+1	4.988806E-11
-8.075000E+2	-5.980269E-10	5.440950E-11	-1.099122E+1	5.000756E-11
-8.073999E+2	-5.984332E-10	5.443147E-11	-1.099425E+1	5.005222E-11
-8.072999E+2	-5.989413E-10	5.445398E-11	-1.099904E+1	5.031297E-11
-8.072000E+2	-5.999392E-10	5.448392E-11	-1.101131E+1	5.037890E-11
-8.071000E+2	-6.000533E-10	5.449910E-11	-1.101033E+1	5.058443E-11
-8.070001E+2	-6.006549E-10	5.451112E-11	-1.101894E+1	5.068453E-11
-8.069000E+2	-6.022323E-10	5.452505E-11	-1.104506E+1	5.090372E-11
-8.068001E+2	-6.021939E-10	5.454152E-11	-1.104102E+1	5.093050E-11
-8.067000E+2	-6.043005E-10	5.455144E-11	-1.107763E+1	5.106337E-11
-8.066000E+2	-6.046281E-10	5.457943E-11	-1.107795E+1	5.113211E-11
-8.065000E+2	-6.058053E-10	5.459753E-11	-1.109584E+1	5.126179E-11
